"profile","Park","year","quartile","rate_of_change","profile_direction"
"2","Santiago, North Beach","98","yearly_ROC_min_dist_to_BP",7.91801884376643,"Accretion"
"2","Santiago, North Beach","98","yearly_ROC_q1_dist_to_BP",6.65269001226195,"Accretion"
"2","Santiago, North Beach","98","yearly_ROC_med_dist_to_BP",4.89998175177763,"Accretion"
"2","Santiago, North Beach","98","yearly_ROC_q3_dist_to_BP",2.31697691610042,"Accretion"
"2","Santiago, North Beach","98","yearly_ROC_max_dist_to_BP",-1.84861869082273,"Erosion"
"2","Santiago, North Beach","98","mean",3.41801884376643,"Accretion"
"2","Santiago, North Beach","99","yearly_ROC_min_dist_to_BP",12.5679426538,"Accretion"
"2","Santiago, North Beach","99","yearly_ROC_q1_dist_to_BP",11.025786997338,"Accretion"
"2","Santiago, North Beach","99","yearly_ROC_med_dist_to_BP",8.85815511053155,"Accretion"
"2","Santiago, North Beach","99","yearly_ROC_q3_dist_to_BP",5.58880124710885,"Accretion"
"2","Santiago, North Beach","99","yearly_ROC_max_dist_to_BP",0.0962439895143498,"Accretion"
"2","Santiago, North Beach","99","mean",6.56794265379999,"Accretion"
"2","Santiago, North Beach","10","yearly_ROC_min_dist_to_BP",-9.24351003656263,"Erosion"
"2","Santiago, North Beach","10","yearly_ROC_q1_dist_to_BP",-7.33336417582366,"Erosion"
"2","Santiago, North Beach","10","yearly_ROC_med_dist_to_BP",-4.56101932857794,"Erosion"
"2","Santiago, North Beach","10","yearly_ROC_q3_dist_to_BP",-0.173501528507988,"Erosion"
"2","Santiago, North Beach","10","yearly_ROC_max_dist_to_BP",7.81644088058602,"Accretion"
"2","Santiago, North Beach","10","mean",-0.743510036562625,"Erosion"
"2","Santiago, North Beach","11","yearly_ROC_min_dist_to_BP",21.9927373882649,"Accretion"
"2","Santiago, North Beach","11","yearly_ROC_q1_dist_to_BP",19.0805518146798,"Accretion"
"2","Santiago, North Beach","11","yearly_ROC_med_dist_to_BP",15.0633554760259,"Accretion"
"2","Santiago, North Beach","11","yearly_ROC_q3_dist_to_BP",9.16661236272132,"Accretion"
"2","Santiago, North Beach","11","yearly_ROC_max_dist_to_BP",-0.32458355270934,"Erosion"
"2","Santiago, North Beach","11","mean",10.9927373882649,"Accretion"
"2","Santiago, North Beach","12","yearly_ROC_min_dist_to_BP",-9.6080652523851,"Erosion"
"2","Santiago, North Beach","12","yearly_ROC_q1_dist_to_BP",-8.52491191947295,"Erosion"
"2","Santiago, North Beach","12","yearly_ROC_med_dist_to_BP",-6.94059086290624,"Erosion"
"2","Santiago, North Beach","12","yearly_ROC_q3_dist_to_BP",-4.40337091089778,"Erosion"
"2","Santiago, North Beach","12","yearly_ROC_max_dist_to_BP",0.311996087818177,"Accretion"
"2","Santiago, North Beach","12","mean",-5.1080652523851,"Erosion"
"2","Santiago, North Beach","13","yearly_ROC_min_dist_to_BP",-5.54794522501736,"Erosion"
"2","Santiago, North Beach","13","yearly_ROC_q1_dist_to_BP",-4.8998277814404,"Erosion"
"2","Santiago, North Beach","13","yearly_ROC_med_dist_to_BP",-3.97925313692916,"Erosion"
"2","Santiago, North Beach","13","yearly_ROC_q3_dist_to_BP",-2.56911662961051,"Erosion"
"2","Santiago, North Beach","13","yearly_ROC_max_dist_to_BP",-0.139310252341894,"Erosion"
"2","Santiago, North Beach","13","mean",-3.04794522501736,"Erosion"
"2","Santiago, North Beach","14","yearly_ROC_min_dist_to_BP",0.952785136301605,"Accretion"
"2","Santiago, North Beach","14","yearly_ROC_q1_dist_to_BP",1.38855651229429,"Accretion"
"2","Santiago, North Beach","14","yearly_ROC_med_dist_to_BP",1.99724988612267,"Accretion"
"2","Santiago, North Beach","14","yearly_ROC_q3_dist_to_BP",2.90702078815447,"Accretion"
"2","Santiago, North Beach","14","yearly_ROC_max_dist_to_BP",4.41364649749797,"Accretion"
"2","Santiago, North Beach","14","mean",2.45278513630161,"Accretion"
"2","Santiago, North Beach","15","yearly_ROC_min_dist_to_BP",4.38428249227747,"Accretion"
"2","Santiago, North Beach","15","yearly_ROC_q1_dist_to_BP",3.22596965430561,"Accretion"
"2","Santiago, North Beach","15","yearly_ROC_med_dist_to_BP",1.6242430927214,"Accretion"
"2","Santiago, North Beach","15","yearly_ROC_q3_dist_to_BP",-0.735132057013419,"Erosion"
"2","Santiago, North Beach","15","yearly_ROC_max_dist_to_BP",-4.55363046664624,"Erosion"
"2","Santiago, North Beach","15","mean",0.384282492277474,"Accretion"
"2","Santiago, North Beach","16","yearly_ROC_min_dist_to_BP",1.59530397569248,"Accretion"
"2","Santiago, North Beach","16","yearly_ROC_q1_dist_to_BP",1.76671338019126,"Accretion"
"2","Santiago, North Beach","16","yearly_ROC_med_dist_to_BP",2.00980433280767,"Accretion"
"2","Santiago, North Beach","16","yearly_ROC_q3_dist_to_BP",2.38132198739569,"Accretion"
"2","Santiago, North Beach","16","yearly_ROC_max_dist_to_BP",3.01909005871471,"Accretion"
"2","Santiago, North Beach","16","mean",2.09530397569248,"Accretion"
