"","profile","Park","year","euc_dist_to_BP"
"309",26,"Leadbetter Beach","15",813.549368154744
"310",26,"Leadbetter Beach","16",864.68105403088
"311",26,"Leadbetter Beach","17",776.912366374107
"312",26,"Leadbetter Beach","18",688.319398607936
"313",26,"Leadbetter Beach","19",792.501052507188
"314",27,"Leadbetter Beach","97",622.501453512392
"315",27,"Leadbetter Beach","98",662.041143623275
"316",27,"Leadbetter Beach","99",652.927959272713
"317",27,"Leadbetter Beach","00",720.426255074039
"318",27,"Leadbetter Beach","01",704.398099887425
"319",27,"Leadbetter Beach","02",694.642303959386
"320",27,"Leadbetter Beach","03",712.218733202803
"321",27,"Leadbetter Beach","04",731.828151002684
"322",27,"Leadbetter Beach","05",719.124363132027
"323",27,"Leadbetter Beach","06",725.308737469781
"324",27,"Leadbetter Beach","07",703.585221295192
"325",27,"Leadbetter Beach","08",708.645127020583
"326",27,"Leadbetter Beach","09",717.102849753775
"327",27,"Leadbetter Beach","10",712.259086709345
"328",27,"Leadbetter Beach","11",706.978466309266
"329",27,"Leadbetter Beach","12",740.759361820684
"330",27,"Leadbetter Beach","13",716.547108936346
"331",27,"Leadbetter Beach","14",747.447402781645
"332",27,"Leadbetter Beach","15",722.976898680044
"333",27,"Leadbetter Beach","16",699.955674310878
"334",27,"Leadbetter Beach","17",667.861850478839
"335",27,"Leadbetter Beach","18",688.54062060639
"336",27,"Leadbetter Beach","19",672.339915388774
"337",28,"Leadbetter Beach","97",798.643430637217
"338",28,"Leadbetter Beach","98",807.270432537961
"339",28,"Leadbetter Beach","99",815.290000551954
"340",28,"Leadbetter Beach","00",846.988738428676
"341",28,"Leadbetter Beach","01",811.56876085766
"342",28,"Leadbetter Beach","02",825.460255509009
"343",28,"Leadbetter Beach","03",848.871168214012
"344",28,"Leadbetter Beach","04",867.867783435345
"345",28,"Leadbetter Beach","05",856.155214505521
"346",28,"Leadbetter Beach","06",831.000838161424
"347",28,"Leadbetter Beach","07",846.565908272946
"348",28,"Leadbetter Beach","08",800.422463858925
"349",28,"Leadbetter Beach","09",828.914589583863
"350",28,"Leadbetter Beach","10",868.925565108994
"351",28,"Leadbetter Beach","11",891.100279892771
"352",28,"Leadbetter Beach","12",925.628696670516
"353",28,"Leadbetter Beach","13",878.318067743711
"354",28,"Leadbetter Beach","14",869.785305980733
"355",28,"Leadbetter Beach","15",885.674134219228
"356",28,"Leadbetter Beach","16",895.486130057286
"357",28,"Leadbetter Beach","17",847.585829341217
"358",28,"Leadbetter Beach","18",845.902721667822
"359",28,"Leadbetter Beach","19",832.474039114753
"360",29,"Leadbetter Beach","97",795.520723582968
"361",29,"Leadbetter Beach","98",783.468449300895
"362",29,"Leadbetter Beach","99",802.866877897559
"363",29,"Leadbetter Beach","00",852.59515932238
"364",29,"Leadbetter Beach","01",808.729621876183
"365",29,"Leadbetter Beach","02",802.10044023486
"366",29,"Leadbetter Beach","03",847.853990083192
"367",29,"Leadbetter Beach","04",842.096189072225
"368",29,"Leadbetter Beach","05",844.897880752425
"369",29,"Leadbetter Beach","06",847.171310568255
"370",29,"Leadbetter Beach","07",827.42203974148
"371",29,"Leadbetter Beach","08",793.297893369812
"372",29,"Leadbetter Beach","09",828.043083676814
"373",29,"Leadbetter Beach","10",835.907213526078
"374",29,"Leadbetter Beach","11",858.398634464193
"375",29,"Leadbetter Beach","12",912.042177451232
"376",29,"Leadbetter Beach","13",857.956273259307
"377",29,"Leadbetter Beach","14",845.125239254515
"378",29,"Leadbetter Beach","15",836.954810623004
"379",29,"Leadbetter Beach","16",852.523957038734
"380",29,"Leadbetter Beach","17",836.181782180161
"381",29,"Leadbetter Beach","18",831.914409795248
"382",29,"Leadbetter Beach","19",856.05880500408
"383",30,"Leadbetter Beach","97",1149.00165997486
"384",30,"Leadbetter Beach","98",1173.84135525204
"385",30,"Leadbetter Beach","99",1165.69996246889
"386",30,"Leadbetter Beach","00",1205.88519281479
"387",30,"Leadbetter Beach","01",1165.07147319383
"388",30,"Leadbetter Beach","02",1179.44047871226
"389",30,"Leadbetter Beach","03",1233.75250728213
"390",30,"Leadbetter Beach","04",1242.21808509014
"391",30,"Leadbetter Beach","05",1216.65482353256
"392",30,"Leadbetter Beach","06",1197.15249180085
"393",30,"Leadbetter Beach","07",1208.46439955838
"394",30,"Leadbetter Beach","08",1187.89906188402
"395",30,"Leadbetter Beach","09",1185.01340559927
"396",30,"Leadbetter Beach","10",1201.72674395015
